freq,rx,tx,user,band
7.395,7.395,0.0,กรมอุตุนิยมวิทยา,HF
7.41,7.41,7.41,ตำรวจ,HF
7.42,7.42,ไม่มี,ตำรวจ,HF
7.425,7.425,ไม่มี,ทหารสื่อสาร,HF
7.435,7.435,ไม่มี,กรมทางหลวง,HF
7.45,7.45,7.45,กองทัพอากาศ,HF
7.452,7.452,ไม่มี,บริษัท การบินไทย จำกัด,HF
7.464,7.464,7.464,กระทรวงสาธารณสุข,HF
7.5,7.5,ไม่มี,ทหารสื่อสาร,HF
7.511,7.511,7.511,สถาบันการแพทย์ฉุกเฉินแห่งชาติ,HF
7.532,7.532,7.532,สถาบันการแพทย์ฉุกเฉินแห่งชาติ,HF
7.541,7.541,7.541,การไฟฟ้า,HF
7.55,7.55,7.55,กองทัพอากาศ,HF
7.565,7.565,ไม่มี,ทหารสื่อสาร,HF
7.57,7.57,0.0,กรมการขนส่งทางบก,HF
7.59,7.59,7.59,การไฟฟ้า,HF
7.615,7.615,ไม่มี,ทหารสื่อสาร,HF
7.645,7.645,7.645,กระทรวงสาธารณสุข,HF
7.65,7.65,7.65,กองทัพอากาศ,HF
7.655,7.655,7.655,กรมทางหลวงชนบท,HF
7.67,7.67,ไม่มี,ทหารสื่อสาร,HF
7.688,7.688,7.688,กองทัพอากาศ,HF
7.698,7.698,7.698,กระทรวงเกษตรและสหกรณ์การเกษตร,HF
7.706,7.706,ไม่มี,กระทรวงดิจิทัลเพื่อเศรษฐกิจและสังคม,HF
7.71,7.71,ไม่มี,ทหารสื่อสาร,HF
7.712,7.712,ไม่มี,กรมทางหลวง,HF
7.715,7.715,ไม่มี,กรมป้องกันและบรรเทาสาธารณภัย,HF
7.73,7.73,7.73,กองทัพอากาศ,HF
7.735,7.735,ไม่มี,ทหารสื่อสาร,HF
7.75,7.75,ไม่มี,ทหารสื่อสาร,HF
7.757,7.757,7.757,สภากาชาดไทย,HF
7.76,7.76,ไม่มี,ทหารสื่อสาร,HF
7.77,7.77,7.77,ตำรวจ,HF
7.773,7.773,7.773,กระทรวงสาธารณสุข,HF
7.7765,7.7765,ไม่มี,ทหารสื่อสาร,HF
7.79,7.79,ไม่มี,กรมพัฒนาที่ดิน,HF
7.795,7.795,7.795,กระทรวงเกษตรและสหกรณ์,HF
7.8,7.8,ไม่มี,กรมการสื่อสารทหาร,HF
7.815,7.815,ไม่มี,กรมป่าไม้,HF
7.835,7.835,7.835,บริษัท ปตท.สผ. อินเตอร์เนชั่นแนล จำกัด,HF
7.87,7.87,7.87,ตำรวจ,HF
7.9,7.9,7.9,ตำรวจ,HF
7.924,7.924,ไม่มี,กรมทางหลวง,HF
7.935,7.935,7.935,กระทรวงเกษตรและสหกรณ์การเกษตร,HF
7.94,7.94,7.94,กรมอุทยานแห่งชาติ สัตว์ป่าและพันธุ์พืช,HF
7.945,7.945,ไม่มี,ทหารสื่อสาร,HF
7.949,7.949,7.949,การท่าเรือแห่งประเทศไทย,HF
7.96,7.96,7.96,การไฟฟ้า,HF
7.97,7.97,7.97,ธนาคารออมสิน,HF
7.98,7.98,7.98,สำนักข่าวกรองแห่งชาติ,HF
7.9825,7.9825,7.9825,กองทัพอากาศ,HF
7.984,7.984,7.984,กองทัพอากาศ,HF
7.989,7.989,7.989,กองทัพอากาศ,HF
8.0,8.0,ไม่มี,ทหารสื่อสาร,HF
8.0035,8.0035,ไม่มี,ทหารสื่อสาร,HF
8.01,8.01,ไม่มี,ทหารสื่อสาร,HF
8.023,8.023,8.023,กองทัพอากาศ,HF
8.033,8.033,8.033,กองทัพอากาศ,HF
8.037,8.037,8.037,กองทัพอากาศ,HF
8.051,8.051,8.051,กองทัพอากาศ,HF
8.0615,8.0615,8.0615,กองทัพอากาศ,HF
8.07,8.07,ไม่มี,กรมอุตุนิยมวิทยา,HF
8.074,8.074,8.074,กองทัพอากาศ,HF
8.079,8.079,8.079,กองทัพอากาศ,HF
8.0855,8.0855,8.0855,สำนักงาน กสทช.,HF
8.086,8.086,ไม่มี,กรมเจ้าท่า,HF
8.093,8.093,8.093,กองทัพอากาศ,HF
8.095,8.095,8.095,กองทัพอากาศ,HF
8.104,8.104,8.104,กองทัพอากาศ,HF
8.105,8.105,8.105,กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน,HF
8.111,8.111,ไม่มี,กรมเจ้าท่า,HF
8.118,8.118,8.118,กองทัพอากาศ,HF
8.121,8.121,ไม่มี,กรมเจ้าท่า,HF
8.1215,8.1215,8.1215,กองทัพอากาศ,HF
8.127,8.127,8.127,กองทัพอากาศ,HF
8.136,8.136,ไม่มี,กรมเจ้าท่า,HF
8.14,8.14,ไม่มี,กรมการสื่อสารทหาร,HF
8.145,8.145,8.145,การไฟฟ้า,HF
8.153,8.153,8.153,กองทัพอากาศ,HF
8.155,8.155,ไม่มี,ทหารสื่อสาร,HF
8.157,8.157,8.157,กองทัพอากาศ,HF
8.161,8.161,8.161,กองทัพอากาศ,HF
8.171,8.171,8.171,กองทัพอากาศ,HF
8.184,8.184,8.184,กองทัพอากาศ,HF
8.189,8.189,8.189,กองทัพอากาศ,HF
8.193,8.193,8.193,กองทัพอากาศ,HF
8.228,8.228,8.752,กรมประมง,HF
8.234,8.234,8.758,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
8.243,8.243,8.767,จังหวัดกระบี่,HF
8.2446,8.2446,ไม่มี,กรมประมง,HF
8.249,8.249,8.773,จังหวัดกระบี่,HF
8.255,8.255,8.779,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
8.258,8.258,8.782,สมาคมประมงแห่งประเทศไทย,HF
8.288,8.288,8.812,จังหวัดกระบี่,HF
8.291,8.291,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
8.294,8.294,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
8.297,8.297,8.71,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
8.319,8.319,8.319,บริษัท เชฟรอนประเทศไทยสำรวจและผลิต จำกัด,HF
8.3765,8.3765,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
8.4145,8.4145,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
8.466,8.466,ไม่มี,การท่าเรือแห่งประเทศไทย,HF
8.71,8.71,8.297,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
8.711,8.711,8.711,บริษัท เชฟรอนประเทศไทยสำรวจและผลิต จำกัด,HF
8.743,8.743,8.743,กรมอุตุนิยมวิทยา,HF
8.752,8.752,8.228,กรมประมง,HF
8.758,8.758,8.234,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
8.767,8.767,8.243,จังหวัดกระบี่,HF
8.7685,8.7685,ไม่มี,กรมประมง,HF
8.773,8.773,8.249,จังหวัดกระบี่,HF
8.779,8.779,8.255,บริษัท กสท โทรคมนาคม จำกัด (มหาชน),HF
8.782,8.782,8.258,สมาคมประมงแห่งประเทศไทย,HF
8.804,8.804,ไม่มี,บริษัท เชฟรอนประเทศไทยสำรวจและผลิต จำกัด,HF
8.812,8.812,8.288,จังหวัดกระบี่,HF
8.861,8.861,8.861,กองทัพอากาศ,HF
8.875,8.875,8.875,กองทัพอากาศ,HF
8.931,8.931,8.931,กองทัพอากาศ,HF
8.933,8.933,ไม่มี,วิทยุการบิน,HF
8.963,8.963,8.963,กองทัพอากาศ,HF
9.018,9.018,9.018,กองทัพอากาศ,HF
9.019,9.019,9.019,กองทัพอากาศ,HF
9.05,9.05,ไม่มี,ทหารสื่อสาร,HF
9.09,9.09,ไม่มี,ทหารสื่อสาร,HF
9.1,9.1,ไม่มี,ทหารสื่อสาร,HF
9.126,9.126,ไม่มี,กรมเจ้าท่า,HF
9.137,9.137,ไม่มี,ทหารสื่อสาร,HF
9.144,9.144,ไม่มี,กรมเจ้าท่า,HF
9.182,9.182,ไม่มี,กรมทางหลวง,HF
9.19,9.19,9.19,สำนักข่าวกรองแห่งชาติ,HF
9.199,9.199,ไม่มี,กระทรวงศึกษาธิการ,HF
9.215,9.215,ไม่มี,ทหารสื่อสาร,HF
9.225,9.225,9.225,ตำรวจ,HF
9.236,9.236,ไม่มี,ทหารสื่อสาร,HF
9.251,9.251,ไม่มี,กรมป่าไม้,HF
9.26,9.26,9.26,ตำรวจ,HF
9.375,9.375,9.375,กองทัพอากาศ,HF
9.479,9.479,ไม่มี,กรมอุตุนิยมวิทยา,HF
9.49,9.49,9.49,กองทัพอากาศ,HF
9.522,9.522,ไม่มี,ทหารสื่อสาร,HF
9.85,9.85,ไม่มี,ทหารสื่อสาร,HF
9.913,9.913,9.913,กรมพัฒนาพลังงานทดแทนและอนุรักษ์พลังงาน,HF
9.916,9.916,ไม่มี,ความถี่กลาง,HF
9.942,9.942,ไม่มี,ทหารสื่อสาร,HF
9.945,9.945,ไม่มี,ทหารสื่อสาร,HF
9.958,9.958,ไม่มี,กรมทางหลวง,HF
9.984,9.984,ไม่มี,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน) สาขาท่าอากาศยานสุวรรณภูมิ,HF
10.005,10.005,10.005,กองทัพอากาศ,HF
10.03,10.03,10.03,กองทัพอากาศ,HF
10.19,10.19,10.19,กองทัพอากาศ,HF
10.23,10.23,10.23,กองทัพอากาศ,HF
10.27,10.27,10.27,กองทัพอากาศ,HF
10.36,10.36,10.36,ตำรวจ,HF
10.49,10.49,ไม่มี,ทหารสื่อสาร,HF
10.5,10.5,ไม่มี,ทหารสื่อสาร,HF
10.86,10.86,ไม่มี,กรมวิชาการเกษตร,HF
10.88,10.88,10.88,กองทัพอากาศ,HF
10.9,10.9,10.9,กองทัพอากาศ,HF
10.925,10.925,ไม่มี,กรมประมง,HF
11.0,11.0,11.0,ไม่มี,HF
11.085,11.085,ไม่มี,กรมพัฒนาที่ดิน,HF
11.16,11.16,11.16,กองทัพอากาศ,HF
11.342,11.342,ไม่มี,วิทยุการบิน,HF
11.387,11.387,11.387,กรมอุตุนิยมวิทยา,HF
11.59,11.59,0.0,กรมการขนส่งทางบก,HF
11.67,11.67,ไม่มี,การนิคมอุตสาหกรรมแห่งประเทศไทย,HF
